id,course_id,name,description,image,price,validity,created_at,updated_at
ef68cd29-812c-4e13-91ea-653d6c06f1fa,0ee0e2e5-3c1a-4698-a419-b6f73faa4738,3 month,demo,XWacetZFCV4itqr9MnzGoaRCx05bAzyoop9aqHNU.jpeg,100,3,2020-08-09 05:38:25,2020-08-09 05:38:25
2698a71b-f286-4efb-a566-e2ece7f571d5,8c19d0d5-9b4d-461a-a8e2-bcb77cb970fc,Free course,free,WZCsQdiSSN7OdGm6V2bqJgZ6IZDUGxGzkZNtOon3.jpeg,0,1200,2020-08-09 05:43:03,2020-08-09 05:43:03
97c54802-cb49-424a-b59d-016ff8829cfd,0ee0e2e5-3c1a-4698-a419-b6f73faa4738,6 Months,6 Months,yGLzXXazKxDryS4OewWS6thJmjH5XlNctn6Z2cs3.jpeg,200,6,2020-08-09 05:43:43,2020-08-09 05:43:43
f46ee5f2-5d52-4ed0-9918-3c295b4ab4c9,0ee0e2e5-3c1a-4698-a419-b6f73faa4738,1 Year,yearly plan,e2VssZgDAIE7PuS5r90uNSARAxrP3VzBFdojCDC3.jpeg,300,12,2020-08-09 05:44:05,2020-08-09 05:44:05
